ANIO,NOM_DOMINIO_G,NOM_IDIOMA,SEXO,EDAD,NOM_ESTADO_CIVIL,NOM_GRADO_ESTUDIOS,COD_CARRERA_UNI,COD_CENTRO_ESTUDIOS,NOM_CARRERA_UNI,NOM_CENTRO_ESTUDIOS
2014,sierra sur,castellano,1,32,2.0,post-grado universitario,711026,999999999,Medicina Humana,
2014,sierra sur,castellano,1,66,2.0,superior universitaria completa,711026,160000001,Medicina Humana,Universidad Nacional Mayor de San Marcos
2014,sierra sur,castellano,1,30,6.0,superior universitaria incompleta,351016,260000040,Derecho,Universidad Tecnológica de los Andes
2014,sierra sur,castellano,2,29,6.0,superior universitaria incompleta,533026,260000108,Arquitectura,Universidad de Ciencias y Artes de América Latina
2014,sierra sur,castellano,2,20,6.0,superior universitaria incompleta,533026,260000068,Arquitectura,Universidad Científica del Sur
2014,sierra sur,quechua,1,23,6.0,superior universitaria incompleta,531016,260000040,Ingeniería Civil,Universidad Tecnológica de los Andes
2014,sierra sur,castellano,2,31,1.0,superior universitaria incompleta,714016,260000040,Enfermería,Universidad Tecnológica de los Andes
2014,sierra sur,quechua,2,55,2.0,superior universitaria completa,112016,260000057,Educación Primaria,Universidad Particular San Ignacio de Loyola
2014,sierra sur,castellano,1,65,2.0,superior universitaria incompleta,611016,160000003,Agronomía,Universidad Nacional de San Antonio Abad del Cusco
2014,sierra sur,quechua,1,46,2.0,post-grado universitario,121016,260000040,Educación Secundaria,Universidad Tecnológica de los Andes
2014,sierra sur,quechua,2,46,2.0,superior universitaria completa,714016,260000040,Enfermería,Universidad Tecnológica de los Andes
