ANIO,NOM_DOMINIO_G,NOM_IDIOMA,SEXO,EDAD,NOM_ESTADO_CIVIL,NOM_GRADO_ESTUDIOS,COD_CARRERA_UNI,COD_CENTRO_ESTUDIOS,COD_DEPARTAMENTO,NOM_CARRERA_UNI,NOM_CENTRO_ESTUDIOS,NOM_DEPARTAMENTO
2017,sierra centro,castellano,hombre,26,soltero(a),superior universitaria incompleta,531016,160000002,5,Ingeniería Civil,Universidad Nacional de San Cristóbal de Huamanga,Ayacucho
2017,sierra centro,castellano,mujer,22,soltero(a),superior universitaria incompleta,716026,160000002,5,Farmacia y Bioquímica,Universidad Nacional de San Cristóbal de Huamanga,Ayacucho
2017,sierra centro,castellano,mujer,22,soltero(a),superior universitaria incompleta,342096,260000059,15,Contabilidad y Auditoria,Universidad Alas Peruanas,Lima
2017,sierra centro,castellano,mujer,37,separado(a),superior universitaria completa,717016,160000002,5,Obstetricia,Universidad Nacional de San Cristóbal de Huamanga,Ayacucho
2017,sierra centro,castellano,mujer,19,soltero(a),superior universitaria incompleta,533026,260000054,15,Arquitectura,Universidad Peruana de Ciencias Aplicadas,Lima
2017,sierra centro,castellano,mujer,24,soltero(a),superior universitaria completa,342046,260000059,15,Ciencias Contables y Financieras,Universidad Alas Peruanas,Lima
2017,sierra centro,quechua,mujer,25,soltero(a),superior universitaria incompleta,342056,260000053,2,Contabilidad,Universidad Católica Los Ángeles de Chimbote,Ancash
2017,sierra centro,quechua,mujer,24,soltero(a),superior universitaria incompleta,342056,260000053,2,Contabilidad,Universidad Católica Los Ángeles de Chimbote,Ancash
2017,sierra centro,quechua,hombre,29,soltero(a),superior universitaria incompleta,341026,160000002,5,Economía,Universidad Nacional de San Cristóbal de Huamanga,Ayacucho
2017,sierra centro,quechua,mujer,22,soltero(a),superior universitaria incompleta,351056,260000053,2,Derecho y Ciencias Políticas   1/,Universidad Católica Los Ángeles de Chimbote,Ancash
2017,sierra centro,castellano,hombre,35,conviviente,superior universitaria completa,621016,160000002,5,Medicina Veterinaria,Universidad Nacional de San Cristóbal de Huamanga,Ayacucho
2017,sierra centro,castellano,mujer,35,conviviente,superior universitaria completa,342096,160000002,5,Contabilidad y Auditoria,Universidad Nacional de San Cristóbal de Huamanga,Ayacucho
2017,sierra centro,quechua,hombre,27,conviviente,superior universitaria incompleta,611016,160000002,5,Agronomía,Universidad Nacional de San Cristóbal de Huamanga,Ayacucho
2017,selva,quechua,mujer,20,soltero(a),superior universitaria incompleta,321026,160000002,5,Ciencias de la Comunicación,Universidad Nacional de San Cristóbal de Huamanga,Ayacucho
