ANIO,DOMINIO_G,COD_IDIOMA,ID_SEXO,EDAD,ID_ESTADO_CIVIL,COD_GRADO_ESTUDIOS,COD_CARRERA_UNI,NOM_DOMINIO_G,NOM_ESTADO_CIVIL,NOM_IDIOMA,NOM_GRADO_ESTUDIOS,NOM_CARRERA_UNI,SEXO
2013,5,4,1,45,6,10,341026,Sierra Centro,Soltero,Castellano,Superior Universitaria Completa,Economía,Hombre
2013,5,4,2,27,6,9,713026,Sierra Centro,Soltero,Castellano,Superior Universitaria Incompleta,Odontología,Mujer
2013,5,4,1,28,6,10,342056,Sierra Centro,Soltero,Castellano,Superior Universitaria Completa,Contabilidad,Hombre
2013,5,4,1,68,2,10,342056,Sierra Centro,Casado,Castellano,Superior Universitaria Completa,Contabilidad,Hombre
2013,5,4,2,45,4,10,121016,Sierra Centro,Divorciado,Castellano,Superior Universitaria Completa,Educación Secundaria,Mujer
2013,5,4,2,52,1,10,112016,Sierra Centro,Conviviente,Castellano,Superior Universitaria Completa,Educación Primaria,Mujer
2013,5,4,2,55,2,9,112016,Sierra Centro,Casado,Castellano,Superior Universitaria Incompleta,Educación Primaria,Mujer
2013,5,4,2,34,6,10,112016,Sierra Centro,Soltero,Castellano,Superior Universitaria Completa,Educación Primaria,Mujer
2013,5,4,2,31,6,9,331016,Sierra Centro,Soltero,Castellano,Superior Universitaria Incompleta,Administración,Mujer
2013,5,4,1,29,6,9,331016,Sierra Centro,Soltero,Castellano,Superior Universitaria Incompleta,Administración,Hombre
2013,5,4,1,34,1,9,331016,Sierra Centro,Conviviente,Castellano,Superior Universitaria Incompleta,Administración,Hombre
2013,5,4,2,32,1,10,714016,Sierra Centro,Conviviente,Castellano,Superior Universitaria Completa,Enfermería,Mujer
2013,5,4,1,22,6,9,11026,Sierra Centro,Soltero,Castellano,Superior Universitaria Incompleta,Ciencias Militares (Ejército),Hombre
2013,5,4,1,40,2,10,121016,Sierra Centro,Casado,Castellano,Superior Universitaria Completa,Educación Secundaria,Hombre
2013,5,4,1,36,6,9,351016,Sierra Centro,Soltero,Castellano,Superior Universitaria Incompleta,Derecho,Hombre
2013,5,4,1,26,6,10,713026,Sierra Centro,Soltero,Castellano,Superior Universitaria Completa,Odontología,Hombre
2013,5,4,2,30,1,10,714016,Sierra Centro,Conviviente,Castellano,Superior Universitaria Completa,Enfermería,Mujer
2013,5,4,1,28,1,9,342056,Sierra Centro,Conviviente,Castellano,Superior Universitaria Incompleta,Contabilidad,Hombre
2013,5,4,1,27,6,9,331016,Sierra Centro,Soltero,Castellano,Superior Universitaria Incompleta,Administración,Hombre
2013,5,4,1,27,6,10,521016,Sierra Centro,Soltero,Castellano,Superior Universitaria Completa,Ingeniería Ambiental y de Prevención de Riesgos,Hombre
2013,5,4,1,26,6,10,521016,Sierra Centro,Soltero,Castellano,Superior Universitaria Completa,Ingeniería Ambiental y de Prevención de Riesgos,Hombre
2013,5,4,1,18,6,9,112016,Sierra Centro,Soltero,Castellano,Superior Universitaria Incompleta,Educación Primaria,Hombre
2013,5,4,2,30,6,10,214036,Sierra Centro,Soltero,Castellano,Superior Universitaria Completa,Traducción e Interpretación,Mujer
2013,5,4,2,26,6,10,714016,Sierra Centro,Soltero,Castellano,Superior Universitaria Completa,Enfermería,Mujer
2013,5,4,1,21,6,9,511026,Sierra Centro,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería de Sistemas,Hombre
2013,5,4,2,21,6,9,714016,Sierra Centro,Soltero,Castellano,Superior Universitaria Incompleta,Enfermería,Mujer
2013,5,4,1,31,6,9,351016,Sierra Centro,Soltero,Castellano,Superior Universitaria Incompleta,Derecho,Hombre
2013,5,4,1,21,6,9,331016,Sierra Centro,Soltero,Castellano,Superior Universitaria Incompleta,Administración,Hombre
2013,5,4,2,44,6,11,112016,Sierra Centro,Soltero,Castellano,Maestria/doctorado,Educación Primaria,Mujer
2013,5,4,1,39,6,11,121016,Sierra Centro,Soltero,Castellano,Maestria/doctorado,Educación Secundaria,Hombre
2013,5,1,1,36,6,10,341026,Sierra Centro,Soltero,Quechua,Superior Universitaria Completa,Economía,Hombre
2013,5,4,2,33,6,9,342056,Sierra Centro,Soltero,Castellano,Superior Universitaria Incompleta,Contabilidad,Mujer
2013,5,4,1,30,6,10,522036,Sierra Centro,Soltero,Castellano,Superior Universitaria Completa,Ingeniería de Industrias Alimentarias    2/,Hombre
2013,5,4,1,24,6,9,531016,Sierra Centro,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Civil,Hombre
2013,5,4,2,47,5,10,112016,Sierra Centro,Separado,Castellano,Superior Universitaria Completa,Educación Primaria,Mujer
2013,5,4,1,25,6,9,611076,Sierra Centro,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Agrícola,Hombre
2013,5,4,1,25,6,9,531016,Sierra Centro,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Civil,Hombre
2013,5,4,1,34,1,9,611076,Sierra Centro,Conviviente,Castellano,Superior Universitaria Incompleta,Ingeniería Agrícola,Hombre
2013,5,1,1,31,1,10,121016,Sierra Centro,Conviviente,Quechua,Superior Universitaria Completa,Educación Secundaria,Hombre
2013,5,4,2,57,2,9,714016,Sierra Centro,Casado,Castellano,Superior Universitaria Incompleta,Enfermería,Mujer
2013,5,4,1,27,1,10,112016,Sierra Centro,Conviviente,Castellano,Superior Universitaria Completa,Educación Primaria,Hombre
2013,5,4,1,40,6,9,511026,Sierra Centro,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería de Sistemas,Hombre
2013,5,4,1,25,6,9,511026,Sierra Centro,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería de Sistemas,Hombre
2013,5,4,2,40,6,10,342056,Sierra Centro,Soltero,Castellano,Superior Universitaria Completa,Contabilidad,Mujer
2013,5,1,1,63,2,10,112016,Sierra Centro,Casado,Quechua,Superior Universitaria Completa,Educación Primaria,Hombre
2013,5,4,2,19,6,9,342056,Sierra Centro,Soltero,Castellano,Superior Universitaria Incompleta,Contabilidad,Mujer
2013,5,4,2,39,1,10,717016,Sierra Centro,Conviviente,Castellano,Superior Universitaria Completa,Obstetricia,Mujer
2013,5,4,1,40,2,10,351016,Sierra Centro,Casado,Castellano,Superior Universitaria Completa,Derecho,Hombre
2013,5,4,2,36,2,10,714016,Sierra Centro,Casado,Castellano,Superior Universitaria Completa,Enfermería,Mujer
2013,5,4,2,32,1,9,441046,Sierra Centro,Conviviente,Castellano,Superior Universitaria Incompleta,Computación e Informática,Mujer
2013,5,4,1,48,2,10,524026,Sierra Centro,Casado,Castellano,Superior Universitaria Completa,Ingeniería Eléctrica,Hombre
2013,5,4,2,44,2,11,121016,Sierra Centro,Casado,Castellano,Maestria/doctorado,Educación Secundaria,Mujer
2013,5,4,2,39,1,9,351016,Sierra Centro,Conviviente,Castellano,Superior Universitaria Incompleta,Derecho,Mujer
2013,5,1,1,48,2,10,121016,Sierra Centro,Casado,Quechua,Superior Universitaria Completa,Educación Secundaria,Hombre
2013,5,4,1,20,6,9,511056,Sierra Centro,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería de Sistemas e Informática   1/,Hombre
2013,5,4,1,20,6,9,531016,Sierra Centro,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Civil,Hombre
2013,2,4,2,25,6,10,714016,Costa Centro,Soltero,Castellano,Superior Universitaria Completa,Enfermería,Mujer
2013,2,4,2,25,6,9,714016,Costa Centro,Soltero,Castellano,Superior Universitaria Incompleta,Enfermería,Mujer
2013,2,4,1,32,1,9,331036,Costa Centro,Conviviente,Castellano,Superior Universitaria Incompleta,Administración de Empresas,Hombre
2013,2,4,2,24,1,9,331036,Costa Centro,Conviviente,Castellano,Superior Universitaria Incompleta,Administración de Empresas,Mujer
2013,2,4,1,55,2,10,331016,Costa Centro,Casado,Castellano,Superior Universitaria Completa,Administración,Hombre
2013,2,4,2,34,2,10,313016,Costa Centro,Casado,Castellano,Superior Universitaria Completa,Psicología,Mujer
2013,2,4,1,24,6,9,611106,Costa Centro,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Agrónoma,Hombre
2013,2,4,1,36,6,10,511026,Costa Centro,Soltero,Castellano,Superior Universitaria Completa,Ingeniería de Sistemas,Hombre
2013,2,4,2,33,6,10,342056,Costa Centro,Soltero,Castellano,Superior Universitaria Completa,Contabilidad,Mujer
2013,2,4,2,26,6,10,713026,Costa Centro,Soltero,Castellano,Superior Universitaria Completa,Odontología,Mujer
2013,2,4,2,35,5,10,351016,Costa Centro,Separado,Castellano,Superior Universitaria Completa,Derecho,Mujer
2013,2,4,1,27,6,10,511026,Costa Centro,Soltero,Castellano,Superior Universitaria Completa,Ingeniería de Sistemas,Hombre
