COD_CENTRO_ESTUDIOS,NOM_CENTRO_ESTUDIOS
141167220,Instituto de Educación Superior Tecnológica (IEST) Ascope
141314061,Instituto de Educación Superior Tecnológica (IEST) Ashaninka
140734103,Instituto de Educación Superior Tecnológica (IEST) Atalaya
140757229,Instituto de Educación Superior Tecnológica (IEST) Aucara
141058742,Instituto de Educación Superior Tecnológica (IEST) Aurahua
141180801,Instituto de Educación Superior Tecnológica (IEST) Ayabaca
140716779,Instituto de Educación Superior Tecnológica (IEST) Ayaviri
140745034,Instituto de Educación Superior Tecnológica (IEST) Bagua
140678433,Instituto de Educación Superior Tecnológica (IEST) Bambamarca
140760900,Instituto de Educación Superior Tecnológica (IEST) Bellavista
140724500,Instituto de Educación Superior Tecnológica (IEST) Bolivar
141316520,Instituto de Educación Superior Tecnológica (IEST) Cabana
140606541,Instituto de Educación Superior Tecnológica (IEST) Cajamarca
141016401,Instituto de Educación Superior Tecnológica (IEST) Canchaque
140736256,Instituto de Educación Superior Tecnológica (IEST) Canipaco
141232610,Instituto de Educación Superior Tecnológica (IEST) Canta
141065531,Instituto de Educación Superior Tecnológica (IEST) Cañete
140510784,Instituto de Educación Superior Tecnológica (IEST) Cap Fap Jose Abelardo Quiñones
141101633,Instituto de Educación Superior Tecnológica (IEST) Carhuaz
141065572,Instituto de Educación Superior Tecnológica (IEST) Carlos Cueto Fernandini
141604206,Instituto de Educación Superior Tecnológica (IEST) Carlos Laborde
140815092,Instituto de Educación Superior Tecnológica (IEST) Carlos Malpica Rivarola
140359729,Instituto de Educación Superior Tecnológica (IEST) Carlos Salazar Romero
140891804,Instituto de Educación Superior Tecnológica (IEST) Castilla
141058155,Instituto de Educación Superior Tecnológica (IEST) Castrovirreyna
140563619,Instituto de Educación Superior Tecnológica (IEST) Catalina Buendia De Pecho
141385095,Instituto de Educación Superior Tecnológica (IEST) Cefop Cajamarca
141124601,Instituto de Educación Superior Tecnológica (IEST) Cenfotur-Centro De Formacion En Turismo
141355692,Instituto de Educación Superior Tecnológica (IEST) Centro De Formacion Agricola Moquegua
141206630,Instituto de Educación Superior Tecnológica (IEST) Centro De Formacion Profesional Binacional
140697979,Instituto de Educación Superior Tecnológica (IEST) Cesar Augusto Guardia Mayorga
141384478,Instituto de Educación Superior Tecnológica (IEST) Chacas
141203520,Instituto de Educación Superior Tecnológica (IEST) Chala
141365865,Instituto de Educación Superior Tecnológica (IEST) Chalamarca
141328970,Instituto de Educación Superior Tecnológica (IEST) Chalhuahuacho
140930024,Instituto de Educación Superior Tecnológica (IEST) Chalhuanca
141124957,Instituto de Educación Superior Tecnológica (IEST) Chancay
141412212,Instituto de Educación Superior Tecnológica (IEST) Chillia
140517664,Instituto de Educación Superior Tecnológica (IEST) Chincha
140757211,Instituto de Educación Superior Tecnológica (IEST) Chipao
140723841,Instituto de Educación Superior Tecnológica (IEST) Chocope
141391747,Instituto de Educación Superior Tecnológica (IEST) Chojata
140814871,Instituto de Educación Superior Tecnológica (IEST) Chongoyape
140678425,Instituto de Educación Superior Tecnológica (IEST) Chota
141390004,Instituto de Educación Superior Tecnológica (IEST) Chupa
141375310,Instituto de Educación Superior Tecnológica (IEST) Chupaca
140815068,Instituto de Educación Superior Tecnológica (IEST) Chuquibamba
140803908,Instituto de Educación Superior Tecnológica (IEST) Churcampa
141158385,Instituto de Educación Superior Tecnológica (IEST) Ciudad Eten
140932384,Instituto de Educación Superior Tecnológica (IEST) Clorinda Matto De Turner
140817510,Instituto de Educación Superior Tecnológica (IEST) Colonia Del Caco
140803981,Instituto de Educación Superior Tecnológica (IEST) Contamana
141144450,Instituto de Educación Superior Tecnológica (IEST) Contralmirante Manuel Villar Olivera
141302363,Instituto de Educación Superior Tecnológica (IEST) Copacabana
140815217,Instituto de Educación Superior Tecnológica (IEST) Curahuasi
140691691,Instituto de Educación Superior Tecnológica (IEST) Cutervo
141145309,Instituto de Educación Superior Tecnológica (IEST) Damaso Laberge
140659003,Instituto de Educación Superior Tecnológica (IEST) Daniel Alcides Carrion - Daniel Alcides Carrión
140665984,Instituto de Educación Superior Tecnológica (IEST) Daniel Villar
141025089,Instituto de Educación Superior Tecnológica (IEST) De Cabanillas
140723775,Instituto de Educación Superior Tecnológica (IEST) De Casma
141331503,Instituto de Educación Superior Tecnológica (IEST) De Chincheros
141367127,Instituto de Educación Superior Tecnológica (IEST) De Chirinos
140920736,Instituto de Educación Superior Tecnológica (IEST) De Concepcion
141147669,Instituto de Educación Superior Tecnológica (IEST) De El Estrecho-Rio Putumayo
140783282,Instituto de Educación Superior Tecnológica (IEST) De Espinar
140760843,Instituto de Educación Superior Tecnológica (IEST) De Huallaga
140723783,Instituto de Educación Superior Tecnológica (IEST) De Huarmey
141032440,Instituto de Educación Superior Tecnológica (IEST) De La Joya
140911891,Instituto de Educación Superior Tecnológica (IEST) De Llamellin
141126457,Instituto de Educación Superior Tecnológica (IEST) De Los Andes
140684654,Instituto de Educación Superior Tecnológica (IEST) De Piscobamba
141380351,Instituto de Educación Superior Tecnológica (IEST) De Progreso
141029297,Instituto de Educación Superior Tecnológica (IEST) De Yunguyo
141029404,Instituto de Educación Superior Tecnológica (IEST) Desaguadero
140337931,Instituto de Educación Superior Tecnológica (IEST) Diseño Y Comunicacion
141158922,Instituto de Educación Superior Tecnológica (IEST) Edilberto Rivas Vasquez
141351543,Instituto de Educación Superior Tecnológica (IEST) El Descanso
141590868,Instituto de Educación Superior Tecnológica (IEST) El Dorado
141335744,Instituto de Educación Superior Tecnológica (IEST) El Milagro
140584672,Instituto de Educación Superior Tecnológica (IEST) Eleazar Guzman Barron
141158914,Instituto de Educación Superior Tecnológica (IEST) Enrique Lopez Albujar
141390608,Instituto de Educación Superior Tecnológica (IEST) Enrique Pablo Mejia Tupayachi
140724492,Instituto de Educación Superior Tecnológica (IEST) Erasmo Arellano Guillen
141114412,Instituto de Educación Superior Tecnológica (IEST) Escuela Nacional De Archiveros
140815050,Instituto de Educación Superior Tecnológica (IEST) Faustino B. Franco
141187830,Instituto de Educación Superior Tecnológica (IEST) Federico Gonzales Cabezudo
141219146,Instituto de Educación Superior Tecnológica (IEST) Federico Uranga
140696047,Instituto de Educación Superior Tecnológica (IEST) Felipe Alva Y Alva
140698167,Instituto de Educación Superior Tecnológica (IEST) Felipe Huaman Poma De Ayala
141550789,Instituto de Educación Superior Tecnológica (IEST) Fernando Belaunde Terry
140886499,Instituto de Educación Superior Tecnológica (IEST) Fernando Leon De Vivero
141150861,Instituto de Educación Superior Tecnológica (IEST) Fernando Lores Tenazoa
140758094,Instituto de Educación Superior Tecnológica (IEST) Florencia De Mora
140551317,Instituto de Educación Superior Tecnológica (IEST) Francisco De Paula Gonzales Vigil
141081157,Instituto de Educación Superior Tecnológica (IEST) Francisco Vigo Caballero
140605717,Instituto de Educación Superior Tecnológica (IEST) General Oscar Arteta Terzi
140705012,Instituto de Educación Superior Tecnológica (IEST) Gilda Liliana Ballivian Rosado
141177336,Instituto de Educación Superior Tecnológica (IEST) Glicerio Gomez Igarza
140690966,Instituto de Educación Superior Tecnológica (IEST) Guadalupe
140766766,Instituto de Educación Superior Tecnológica (IEST) Gustavo Eduardo Lanatta Lujan
141328988,Instituto de Educación Superior Tecnológica (IEST) Haquira
141142108,Instituto de Educación Superior Tecnológica (IEST) Hatun Soras
141165349,Instituto de Educación Superior Tecnológica (IEST) Hector Vasquez Jimenez
140719674,Instituto de Educación Superior Tecnológica (IEST) Hermanos Carcamo
140930230,Instituto de Educación Superior Tecnológica (IEST) Hermenegildo Miranda Segovia
141214147,Instituto de Educación Superior Tecnológica (IEST) Heroes De Sierra Lumi
140695429,Instituto de Educación Superior Tecnológica (IEST) Honorio Delgado Espinoza
141331628,Instituto de Educación Superior Tecnológica (IEST) Huaccana
140734731,Instituto de Educación Superior Tecnológica (IEST) Huamachuco
141025691,Instituto de Educación Superior Tecnológica (IEST) Huancane
140688051,Instituto de Educación Superior Tecnológica (IEST) Huancavelica
140671107,Instituto de Educación Superior Tecnológica (IEST) Huanta
140532226,Instituto de Educación Superior Tecnológica (IEST) Huarmaca
141065291,Instituto de Educación Superior Tecnológica (IEST) Huaycan
140934638,Instituto de Educación Superior Tecnológica (IEST) Iberia-Tahuamanu
141027085,Instituto de Educación Superior Tecnológica (IEST) Ilave
141195890,Instituto de Educación Superior Tecnológica (IEST) Illimo
141391739,Instituto de Educación Superior Tecnológica (IEST) Inmaculada Concepcion
141102722,Instituto de Educación Superior Tecnológica (IEST) Jaime Cerron Palomino
140787325,Instituto de Educación Superior Tecnológica (IEST) Jatum Yauyos
141175223,Instituto de Educación Superior Tecnológica (IEST) Javier Pulgar Vidal
140721688,Instituto de Educación Superior Tecnológica (IEST) Joaquin Reategui Medina
141116177,Instituto de Educación Superior Tecnológica (IEST) Jorge Basadre - Islay
141128156,Instituto de Educación Superior Tecnológica (IEST) Jorge Basadre Grohman - Tambopata
140803072,Instituto de Educación Superior Tecnológica (IEST) Jorge Desmaison Seminario
140481218,Instituto de Educación Superior Tecnológica (IEST) Jose Antonio Encinas
140696039,Instituto de Educación Superior Tecnológica (IEST) Jose Arnaldo Sabogal Dieguez
140481093,Instituto de Educación Superior Tecnológica (IEST) Jose Carlos Mariategui- Mariscal Nieto
141385426,Instituto de Educación Superior Tecnológica (IEST) Jose Domingo Choquehuanca
140920116,Instituto de Educación Superior Tecnológica (IEST) Jose Maria Arguedas - Huancayo
141145713,Instituto de Educación Superior Tecnológica (IEST) Jose Maria Arguedas - Lucanas
140450114,Instituto de Educación Superior Tecnológica (IEST) Jose Pardo
141206671,Instituto de Educación Superior Tecnológica (IEST) Juan Esteban Lopez Cruz
140681619,Instituto de Educación Superior Tecnológica (IEST) Juan Huarin
141180363,Instituto de Educación Superior Tecnológica (IEST) Juan Jose Farfan Cespedes
141065010,Instituto de Educación Superior Tecnológica (IEST) Juan Velasco Alvarado
140630467,Instituto de Educación Superior Tecnológica (IEST) Juli
140623082,Instituto de Educación Superior Tecnológica (IEST) Julio Cesar Tello
141359033,Instituto de Educación Superior Tecnológica (IEST) Kimbiri
141280668,Instituto de Educación Superior Tecnológica (IEST) La Cantuta
140814723,Instituto de Educación Superior Tecnológica (IEST) La Merced
140798090,Instituto de Educación Superior Tecnológica (IEST) La Oroya
140520197,Instituto de Educación Superior Tecnológica (IEST) La Salle
140719807,Instituto de Educación Superior Tecnológica (IEST) La Union
141148113,Instituto de Educación Superior Tecnológica (IEST) Lagunas
141172436,Instituto de Educación Superior Tecnológica (IEST) Laredo
141539543,Instituto de Educación Superior Tecnológica (IEST) Leonidas Lopez Chicae
140814798,Instituto de Educación Superior Tecnológica (IEST) Libertad - Pataz
141403559,Instituto de Educación Superior Tecnológica (IEST) Lircay
141180843,Instituto de Educación Superior Tecnológica (IEST) Lizardo Montero Flores
140767467,Instituto de Educación Superior Tecnológica (IEST) Lonya Grande
141530971,Instituto de Educación Superior Tecnológica (IEST) Los Morochucos
141180561,Instituto de Educación Superior Tecnológica (IEST) Luciano Castillo Colonna
140680959,Instituto de Educación Superior Tecnológica (IEST) Luis E Valcarcel
